,uid,latitude,longitude,date,split,geometry,index_right,index,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,NAME_y,median_household_income,median_family_income,total_pop_race,poverty,total_pop,white,black,asian,hispanic_latino,aian,nhpi,other,multi,state,county,tract,poverty_rate,percent_white,percent_black,percent_asian,percent_nonwhite,percent_hispanic_latino,percent_aian,percent_nhpi,percent_other,percent_multi,poverty_rate_state,percent_white_state,percent_black_state,percent_asian_state,percent_aian_state,percent_nhpi_state,percent_other_state,percent_multi_state,percent_hispanic_latino_state,percent_nonwhite_state,NAME,median_household_income_state_overall,median_family_income_state_overall,total_pop_race_state_overall,poverty_state_overall,total_pop_state_overall,white_state_overall,black_state_overall,asian_state_overall,hispanic_latino_state_overall,aian_state_overall,nhpi_state_overall,other_state_overall,multi_state_overall,poverty_rate_bin,percent_white_bin,percent_black_bin,percent_asian_bin,percent_aian_bin,percent_nhpi_bin,percent_other_bin,percent_multi_bin,percent_hispanic_latino_bin,percent_nonwhite_bin,missing_pop,low_income
10,acix,37.3978,-120.96,2020-08-11,train,POINT (-120.96 37.3978),40334.0,5121.0,06,047,000402,06047000402,4.02,Census Tract 4.02,G5020,S,118656652.0,1135494.0,+37.3998708,-120.8953613,"Census Tract 4.02, Merced County, California",62500.0,61442.0,9060.0,1096.0,9060.0,6702.0,0.0,16.0,2842.0,35.0,0.0,1654.0,653.0,06,047,000402,0.12097130242825607,0.7397350993377484,0.0,0.0017660044150110375,0.26026490066225166,0.3136865342163355,0.003863134657836645,0.0,0.182560706401766,0.07207505518763797,0.12236374293173113,0.6048675727987227,0.0582908203945456,0.1384788046263071,0.00836603248590504,0.0037439232934668547,0.13789661873663295,0.04835622766441983,0.3808663448957289,0.39513242720127734,California,75235.0,85837.0,39283497.0,4702069.0,39283497.0,23453222.0,2274108.0,5692423.0,15327688.0,303998.0,155290.0,5481792.0,1922664.0,0,1,0,0,0,0,1,1,0,0,0,1
11,aclb,38.4831216812134,-75.1296916643778,2020-11-10,train,POINT (-75.1296916643778 38.4831216812134),1468.0,10.0,10,005,051306,10005051306,513.06,Census Tract 513.06,G5020,S,11824795.0,2881389.0,+38.4787667,-075.1012742,"Census Tract 513.06, Sussex County, Delaware",68631.0,97917.0,2831.0,201.0,2831.0,2717.0,64.0,8.0,65.0,0.0,0.0,19.0,23.0,10,005,051306,0.07099964676792653,0.959731543624161,0.02260685270222536,0.00282585658777817,0.040268456375838924,0.022960084775697633,0.0,0.0,0.006711409395973154,0.008124337689862239,0.11134794229986097,0.6911524499921867,0.22311119298549087,0.03507422536826975,0.00399232931081646,0.0005018947689540405,0.01997483968304265,0.026193067891239544,0.09231635562828512,0.3088475500078134,Delaware,68287.0,83127.0,957248.0,99177.0,957248.0,658237.0,212302.0,37009.0,88364.0,3729.0,542.0,18350.0,27079.0,0,1,0,0,0,0,0,0,0,0,0,0
12,acld,35.6425259962153,-79.2814711416536,2020-07-15,train,POINT (-79.2814711416536 35.6425259962153),19434.0,1091.0,37,037,020600,37037020600,206,Census Tract 206,G5020,S,303367193.0,2361346.0,+35.6003231,-079.2898170,"Census Tract 206, Chatham County, North Carolina",52431.0,56970.0,5187.0,679.0,5187.0,4117.0,869.0,134.0,303.0,0.0,0.0,1.0,66.0,37,037,020600,0.13090418353576247,0.7937150568729516,0.1675342201657991,0.02583381530749952,0.2062849431270484,0.05841526894158473,0.0,0.0,0.000192789666473877,0.012724117987275883,0.13662534136952448,0.6881205283203753,0.21739186530733348,0.025458108635877878,0.012358662342982054,0.0007994079685940996,0.030243458621782838,0.02562796880305431,0.0909675471928848,0.31187947167962465,North Carolina,54602.0,68435.0,10264876.0,1325875.0,10264876.0,7049919.0,2200761.0,292992.0,962665.0,123952.0,7213.0,316763.0,273276.0,0,1,0,1,0,0,0,0,0,0,0,1
13,actk,41.89424,-78.93875,2019-04-16,test,POINT (-78.93875 41.89424),30894.0,3204.0,42,123,970100,42123970100,9701,Census Tract 9701,G5020,S,310664149.0,25274451.0,+41.9279868,-078.9656334,"Census Tract 9701, Warren County, Pennsylvania",51554.0,62500.0,2247.0,296.0,2247.0,2221.0,19.0,0.0,0.0,0.0,0.0,0.0,7.0,42,123,970100,0.1317311971517579,0.9884290164663997,0.008455718736092568,0.0,0.011570983533600357,0.0,0.0,0.0,0.0,0.003115264797507788,0.11959920000397792,0.7980483267693352,0.12211424549149144,0.030980270194210638,0.0019295997156271564,0.00034885889501186384,0.020211395998964137,0.02636730293535956,0.07015937196344414,0.2019516732306648,Pennsylvania,61744.0,78521.0,12791530.0,1406077.0,12791530.0,10300602.0,1430664.0,436324.0,935216.0,24691.0,4198.0,275177.0,319874.0,1,1,0,0,0,0,0,0,0,0,0,1
14,actm,38.720200030009,-75.0800833304723,2017-08-21,train,POINT (-75.08008333047231 38.720200030009),1545.0,87.0,10,005,051101,10005051101,511.01,Census Tract 511.01,G5020,S,2363153.0,1177604.0,+38.7246512,-075.0813080,"Census Tract 511.01, Sussex County, Delaware",128750.0,184583.0,876.0,28.0,876.0,865.0,0.0,5.0,26.0,0.0,0.0,0.0,6.0,10,005,051101,0.0319634703196347,0.9874429223744292,0.0,0.005707762557077625,0.012557077625570776,0.02968036529680365,0.0,0.0,0.0,0.00684931506849315,0.11134794229986097,0.6911524499921867,0.22311119298549087,0.03507422536826975,0.00399232931081646,0.0005018947689540405,0.01997483968304265,0.026193067891239544,0.09231635562828512,0.3088475500078134,Delaware,68287.0,83127.0,957248.0,99177.0,957248.0,658237.0,212302.0,37009.0,88364.0,3729.0,542.0,18350.0,27079.0,0,1,0,0,0,0,0,0,0,0,0,0
15,acyg,35.79,-79.0323243204653,2020-03-11,train,POINT (-79.03232432046531 35.79),18888.0,545.0,37,037,020104,37037020104,201.04,Census Tract 201.04,G5020,S,40951085.0,853237.0,+35.7967143,-079.0528433,"Census Tract 201.04, Chatham County, North Carolina",99811.0,139746.0,5370.0,240.0,5370.0,4959.0,133.0,81.0,241.0,63.0,0.0,8.0,126.0,37,037,020104,0.0446927374301676,0.923463687150838,0.024767225325884545,0.015083798882681564,0.07653631284916201,0.044878957169459964,0.011731843575418994,0.0,0.0014897579143389199,0.02346368715083799,0.13662534136952448,0.6881205283203753,0.21739186530733348,0.025458108635877878,0.012358662342982054,0.0007994079685940996,0.030243458621782838,0.02562796880305431,0.0909675471928848,0.31187947167962465,North Carolina,54602.0,68435.0,10264876.0,1325875.0,10264876.0,7049919.0,2200761.0,292992.0,962665.0,123952.0,7213.0,316763.0,273276.0,0,1,0,0,0,0,0,0,0,0,0,0
16,acyl,35.724845214809,-79.1285721103172,2018-08-06,train,POINT (-79.12857211031719 35.724845214809),19420.0,1077.0,37,037,020800,37037020800,208,Census Tract 208,G5020,S,181755283.0,14479953.0,+35.7143431,-079.1474408,"Census Tract 208, Chatham County, North Carolina",65282.0,86213.0,9288.0,542.0,9288.0,7414.0,1555.0,109.0,439.0,0.0,0.0,39.0,171.0,37,037,020800,0.05835486649440138,0.7982342807924203,0.16742032730404824,0.01173557278208441,0.20176571920757969,0.04726528854435831,0.0,0.0,0.004198966408268734,0.018410852713178296,0.13662534136952448,0.6881205283203753,0.21739186530733348,0.025458108635877878,0.012358662342982054,0.0007994079685940996,0.030243458621782838,0.02562796880305431,0.0909675471928848,0.31187947167962465,North Carolina,54602.0,68435.0,10264876.0,1325875.0,10264876.0,7049919.0,2200761.0,292992.0,962665.0,123952.0,7213.0,316763.0,273276.0,0,1,0,0,0,0,0,0,0,0,0,0
17,adjx,41.0491,-121.762,2021-08-23,train,POINT (-121.762 41.0491),40992.0,5779.0,06,089,012701,06089012701,127.01,Census Tract 127.01,G5020,S,1004478194.0,7394359.0,+40.8708919,-121.6257424,"Census Tract 127.01, Shasta County, California",47408.0,59457.0,4881.0,888.0,4881.0,4235.0,51.0,88.0,395.0,169.0,0.0,122.0,216.0,06,089,012701,0.1819299323909035,0.8676500717066175,0.010448678549477565,0.018029092399098546,0.1323499282933825,0.08092603974595369,0.0346240524482688,0.0,0.024994878098750256,0.044253226797787336,0.12236374293173113,0.6048675727987227,0.0582908203945456,0.1384788046263071,0.00836603248590504,0.0037439232934668547,0.13789661873663295,0.04835622766441983,0.3808663448957289,0.39513242720127734,California,75235.0,85837.0,39283497.0,4702069.0,39283497.0,23453222.0,2274108.0,5692423.0,15327688.0,303998.0,155290.0,5481792.0,1922664.0,1,1,0,0,1,0,0,0,0,0,0,1
18,adwg,40.7201033333333,-85.1058325,2021-05-24,train,POINT (-85.10583250000001 40.7201033333333),51116.0,703.0,18,179,040300,18179040300,403,Census Tract 403,G5020,S,208522932.0,1298994.0,+40.6953555,-085.1223303,"Census Tract 403, Wells County, Indiana",72417.0,92712.0,4228.0,141.0,4228.0,4146.0,42.0,38.0,55.0,0.0,0.0,2.0,0.0,18,179,040300,0.033349101229895935,0.9806054872280038,0.009933774834437087,0.008987701040681173,0.019394512771996216,0.013008514664143803,0.0,0.0,0.0004730368968779565,0.0,0.1353977940350358,0.8154160304485109,0.11340292978278485,0.018515833443743444,0.0025014762801024624,0.00040752405954899696,0.02379922663103573,0.025956979354273726,0.07105641155269542,0.1845839695514892,Indiana,56303.0,71164.0,6665703.0,782759.0,6665703.0,5553391.0,626587.0,151979.0,461850.0,15782.0,2506.0,145747.0,169711.0,0,1,0,0,0,0,0,0,0,0,0,0
19,adxk,41.3305639294444,-85.3836083333333,2020-06-08,train,POINT (-85.3836083333333 41.3305639294444),51103.0,690.0,18,113,972600,18113972600,9726,Census Tract 9726,G5020,S,138285078.0,4219979.0,+41.3136429,-085.4286670,"Census Tract 9726, Noble County, Indiana",61791.0,74111.0,4435.0,159.0,4435.0,4424.0,0.0,0.0,81.0,0.0,0.0,0.0,11.0,18,113,972600,0.03585118376550169,0.9975197294250282,0.0,0.0,0.002480270574971815,0.01826381059751973,0.0,0.0,0.0,0.002480270574971815,0.1353977940350358,0.8154160304485109,0.11340292978278485,0.018515833443743444,0.0025014762801024624,0.00040752405954899696,0.02379922663103573,0.025956979354273726,0.07105641155269542,0.1845839695514892,Indiana,56303.0,71164.0,6665703.0,782759.0,6665703.0,5553391.0,626587.0,151979.0,461850.0,15782.0,2506.0,145747.0,169711.0,0,1,0,0,0,0,0,0,0,0,0,0
20,adxo,41.841242,-78.994719,2020-09-02,test,POINT (-78.994719 41.841242),29174.0,1484.0,42,123,971000,42123971000,9710,Census Tract 9710,G5020,S,93286921.0,2119392.0,+41.8652423,-079.0636850,"Census Tract 9710, Warren County, Pennsylvania",64714.0,74101.0,2159.0,71.0,2159.0,2107.0,0.0,15.0,6.0,0.0,0.0,6.0,31.0,42,123,971000,0.03288559518295507,0.9759147753589624,0.0,0.006947660954145438,0.024085224641037517,0.002779064381658175,0.0,0.0,0.002779064381658175,0.014358499305233904,0.11959920000397792,0.7980483267693352,0.12211424549149144,0.030980270194210638,0.0019295997156271564,0.00034885889501186384,0.020211395998964137,0.02636730293535956,0.07015937196344414,0.2019516732306648,Pennsylvania,61744.0,78521.0,12791530.0,1406077.0,12791530.0,10300602.0,1430664.0,436324.0,935216.0,24691.0,4198.0,275177.0,319874.0,0,1,0,0,0,0,0,0,0,0,0,1
21,aelv,35.79,-79.0332635644341,2020-06-10,train,POINT (-79.03326356443409 35.79),18888.0,545.0,37,037,020104,37037020104,201.04,Census Tract 201.04,G5020,S,40951085.0,853237.0,+35.7967143,-079.0528433,"Census Tract 201.04, Chatham County, North Carolina",99811.0,139746.0,5370.0,240.0,5370.0,4959.0,133.0,81.0,241.0,63.0,0.0,8.0,126.0,37,037,020104,0.0446927374301676,0.923463687150838,0.024767225325884545,0.015083798882681564,0.07653631284916201,0.044878957169459964,0.011731843575418994,0.0,0.0014897579143389199,0.02346368715083799,0.13662534136952448,0.6881205283203753,0.21739186530733348,0.025458108635877878,0.012358662342982054,0.0007994079685940996,0.030243458621782838,0.02562796880305431,0.0909675471928848,0.31187947167962465,North Carolina,54602.0,68435.0,10264876.0,1325875.0,10264876.0,7049919.0,2200761.0,292992.0,962665.0,123952.0,7213.0,316763.0,273276.0,0,1,0,0,0,0,0,0,0,0,0,0
22,afbl,35.6782695172535,-79.2150814232298,2018-08-09,test,POINT (-79.2150814232298 35.6782695172535),19420.0,1077.0,37,037,020800,37037020800,208,Census Tract 208,G5020,S,181755283.0,14479953.0,+35.7143431,-079.1474408,"Census Tract 208, Chatham County, North Carolina",65282.0,86213.0,9288.0,542.0,9288.0,7414.0,1555.0,109.0,439.0,0.0,0.0,39.0,171.0,37,037,020800,0.05835486649440138,0.7982342807924203,0.16742032730404824,0.01173557278208441,0.20176571920757969,0.04726528854435831,0.0,0.0,0.004198966408268734,0.018410852713178296,0.13662534136952448,0.6881205283203753,0.21739186530733348,0.025458108635877878,0.012358662342982054,0.0007994079685940996,0.030243458621782838,0.02562796880305431,0.0909675471928848,0.31187947167962465,North Carolina,54602.0,68435.0,10264876.0,1325875.0,10264876.0,7049919.0,2200761.0,292992.0,962665.0,123952.0,7213.0,316763.0,273276.0,0,1,0,0,0,0,0,0,0,0,0,0
23,afcm,41.99847,-78.95185,2019-08-19,train,POINT (-78.95184999999999 41.99847),30894.0,3204.0,42,123,970100,42123970100,9701,Census Tract 9701,G5020,S,310664149.0,25274451.0,+41.9279868,-078.9656334,"Census Tract 9701, Warren County, Pennsylvania",51554.0,62500.0,2247.0,296.0,2247.0,2221.0,19.0,0.0,0.0,0.0,0.0,0.0,7.0,42,123,970100,0.1317311971517579,0.9884290164663997,0.008455718736092568,0.0,0.011570983533600357,0.0,0.0,0.0,0.0,0.003115264797507788,0.11959920000397792,0.7980483267693352,0.12211424549149144,0.030980270194210638,0.0019295997156271564,0.00034885889501186384,0.020211395998964137,0.02636730293535956,0.07015937196344414,0.2019516732306648,Pennsylvania,61744.0,78521.0,12791530.0,1406077.0,12791530.0,10300602.0,1430664.0,436324.0,935216.0,24691.0,4198.0,275177.0,319874.0,1,1,0,0,0,0,0,0,0,0,0,1
24,afeh,35.51,-79.041222421222,2021-08-02,train,POINT (-79.041222421222 35.51),20276.0,1933.0,37,105,030702,37105030702,307.02,Census Tract 307.02,G5020,S,118059291.0,1594381.0,+35.4940347,-079.0534716,"Census Tract 307.02, Lee County, North Carolina",50227.0,66016.0,4394.0,406.0,4394.0,3686.0,480.0,69.0,363.0,2.0,0.0,64.0,93.0,37,105,030702,0.0923987255348202,0.838871187983614,0.10923987255348203,0.01570323167956304,0.16112881201638599,0.08261265361857077,0.0004551661356395084,0.0,0.01456531634046427,0.02116522530723714,0.13662534136952448,0.6881205283203753,0.21739186530733348,0.025458108635877878,0.012358662342982054,0.0007994079685940996,0.030243458621782838,0.02562796880305431,0.0909675471928848,0.31187947167962465,North Carolina,54602.0,68435.0,10264876.0,1325875.0,10264876.0,7049919.0,2200761.0,292992.0,962665.0,123952.0,7213.0,316763.0,273276.0,0,1,0,0,0,0,0,0,0,0,0,1
25,afek,41.992305,-78.929219,2019-09-24,train,POINT (-78.929219 41.992305),30894.0,3204.0,42,123,970100,42123970100,9701,Census Tract 9701,G5020,S,310664149.0,25274451.0,+41.9279868,-078.9656334,"Census Tract 9701, Warren County, Pennsylvania",51554.0,62500.0,2247.0,296.0,2247.0,2221.0,19.0,0.0,0.0,0.0,0.0,0.0,7.0,42,123,970100,0.1317311971517579,0.9884290164663997,0.008455718736092568,0.0,0.011570983533600357,0.0,0.0,0.0,0.0,0.003115264797507788,0.11959920000397792,0.7980483267693352,0.12211424549149144,0.030980270194210638,0.0019295997156271564,0.00034885889501186384,0.020211395998964137,0.02636730293535956,0.07015937196344414,0.2019516732306648,Pennsylvania,61744.0,78521.0,12791530.0,1406077.0,12791530.0,10300602.0,1430664.0,436324.0,935216.0,24691.0,4198.0,275177.0,319874.0,1,1,0,0,0,0,0,0,0,0,0,1
26,afel,37.8189,-121.358,2019-07-16,test,POINT (-121.358 37.8189),36852.0,1639.0,06,077,003900,06077003900,39,Census Tract 39,G5020,S,493561616.0,36386064.0,+37.9269437,-121.4574107,"Census Tract 39, San Joaquin County, California",52540.0,56583.0,1518.0,237.0,1518.0,1298.0,0.0,11.0,1059.0,8.0,14.0,91.0,96.0,06,077,003900,0.15612648221343872,0.855072463768116,0.0,0.007246376811594203,0.14492753623188406,0.6976284584980237,0.005270092226613966,0.00922266139657444,0.059947299077733864,0.06324110671936758,0.12236374293173113,0.6048675727987227,0.0582908203945456,0.1384788046263071,0.00836603248590504,0.0037439232934668547,0.13789661873663295,0.04835622766441983,0.3808663448957289,0.39513242720127734,California,75235.0,85837.0,39283497.0,4702069.0,39283497.0,23453222.0,2274108.0,5692423.0,15327688.0,303998.0,155290.0,5481792.0,1922664.0,1,1,0,0,0,1,0,1,1,0,0,1
